region,protocol,avg_rtt_ms,std_rtt_ms,avg_download_time_sec,std_download_time_sec,min_download_time_sec,max_download_time_sec,count
Asia,FTP,110.29166666666667,45.12787078345784,6.370225602777778,1.7902079325190683,4.561987,19.873299,360
Asia,HTTP,110.29166666666667,45.12787078345784,5.009510697222222,1.6905921529875303,3.767307,25.122834,360
Asia,HTTPS,110.29166666666667,45.12787078345784,5.108429725,1.3207823240226357,3.762111,18.414827,360
Germany,FTP,70.51666666666667,5.596432409160899,8.820427969444445,2.763053937520665,5.98732,55.897143,360
Germany,HTTP,70.51666666666667,5.596432409160899,7.9069071611111115,1.1818606260002658,5.624542,15.938785,360
Germany,HTTPS,70.51666666666667,5.596432409160899,8.051385972222223,1.273781320463689,5.597329,18.856204,360
USA,FTP,167.53055555555557,32.590805814614804,25.171187305555556,16.538104939892104,11.053075,178.182749,360
USA,HTTP,167.53055555555557,32.590805814614804,21.614056555555557,12.838907131792821,8.641177,103.586596,360
USA,HTTPS,167.61559888579387,32.59626707927554,28.65260608356546,28.842820838673774,9.058946,122.234484,359
